SRR12873300	SRR128733001	SRR12873301	SRR128733011	SRR12873302	SRR128733021	SRR12873303	SRR128733031	SRR12873304	SRR128733041	SRR12873305	SRR128733051	SRR12873306	SRR128733061	SRR12873307	SRR128733071	SRR12873308	SRR128733081	SRR12873309	SRR128733091	SRR12873310	SRR128733101	SRR12873311	SRR128733111	SRR12873312	SRR128733121	SRR12873313	SRR128733131	SRR12873314	SRR128733141	SRR12873315	SRR128733151	SRR12873316	SRR128733161	SRR12873317	SRR128733171	SRR12873318	SRR128733181	SRR12873319	SRR128733191	SRR12873320	SRR128733201	SRR12873321	SRR128733211	SRR12873322	SRR128733221	SRR12873323	SRR128733231	SRR12873324	SRR128733241	SRR12873325	SRR128733251	SRR12873326	SRR128733261	SRR12873327	SRR128733271	SRR12873328	SRR128733281
ASV_0069	0	0	19	19	8	8	751	751	0	0	2	2	151	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	315	315	0	0	9	9	269	269	137	137	272	272	38	38	5	5	202	202	8	8
ASV_0070	4	4	72	72	0	0	18	18	0	0	241	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	122	0	0	354	354	136	136	8	8	0	0	157	157	660	660	145	145	32	32	185	185
ASV_0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1673	1673	32	32	0	0	422	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0072	0	0	0	0	27	27	263	263	119	119	84	84	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	795	0	0	26	26	57	57	23	23	45	45	38	38	0	0	197	197	59	59	202	202	142	142	0	0
ASV_0073	0	0	0	0	0	0	99	99	289	289	63	63	151	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	561	0	0	133	133	0	0	80	80	30	30	64	64	39	39	0	0	105	105	351	351	136	136	0	0
ASV_0074	0	0	0	0	0	0	3	3	18	18	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	186	27	27	399	399	62	62	0	0	0	0	252	252	218	218	510	510	26	26	247	247
ASV_0075	0	0	83	83	54	54	37	37	0	0	0	0	265	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	113	0	0	6	6	0	0	0	0	0	0	30	30	476	476	639	639	180	180	0	0	80	80	0	0
ASV_0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498	1498	0	0	0	0	463	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0077	5	5	49	49	0	0	27	27	0	0	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	76	44	44	199	199	57	57	0	0	15	15	522	522	14	14	426	426	35	35	368	368
ASV_0078	0	0	1	1	0	0	49	49	353	353	0	0	154	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	164	0	0	66	66	3	3	63	63	61	61	3	3	0	0	182	182	365	365	93	93	154	154	152	152
ASV_0079	0	0	5	5	0	0	1364	1364	157	157	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	0	0	46	46	0	0	5	5	0	0	0	0	74	74	0	0	88	88	0	0	0	0	0	0
ASV_0080	0	0	15	15	0	0	0	0	0	0	39	39	72	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	124	124	0	0	511	511	132	132	0	0	0	0	89	89	99	99	332	332	47	47	324	324
ASV_0081	0	0	37	37	592	592	0	0	0	0	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	633	0	0	0	0	0	0	0	0	0	0
ASV_0082	0	0	0	0	0	0	0	0	20	20	37	37	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	141	68	68	615	615	146	146	0	0	0	0	71	71	56	56	259	259	56	56	228	228
ASV_0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	310	5	5	147	147	503	503	0	0	0	0	61	61	524	524	210	210	0	0	0	0
ASV_0084	0	0	0	0	0	0	529	529	103	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	287	0	0	281	281	0	0	60	60	34	34	0	0	0	0	0	0	387	387	0	0	46	46	0	0
ASV_0085	4	4	13	13	0	0	75	75	349	349	22	22	385	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	41	0	0	53	53	602	602	108	108
ASV_0086	0	0	0	0	19	19	0	0	0	0	195	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	154	62	62	339	339	107	107	0	0	0	0	60	60	478	478	98	98	0	0	156	156
ASV_0087	193	193	0	0	3	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121	1121	0	0	5	5	135	135	15	15	111	111	5	5	37	37	0	0	10	10
ASV_0088	0	0	0	0	0	0	0	0	0	0	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	206	206	30	30	407	407	68	68	21	21	0	0	147	147	137	137	357	357	0	0	172	172
ASV_0089	10	10	8	8	0	0	136	136	154	154	41	41	338	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	175	0	0	0	0	0	0	0	0	0	0	29	29	27	27	0	0	22	22	43	43	221	221	381	381
ASV_0090	0	0	0	0	0	0	75	75	84	84	95	95	86	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	787	0	0	0	0	0	0	0	0	0	0	44	44	116	116	0	0	51	51	107	107	0	0	111	111
ASV_0091	219	219	0	0	3	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	820	0	0	18	18	166	166	27	27	200	200	6	6	62	62	0	0	17	17
ASV_0092	0	0	0	0	0	0	493	493	276	276	0	0	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	466	0	0	17	17	0	0	0	0	0	0	20	20	0	0	59	59	63	63	58	58	0	0	15	15
ASV_0093	0	0	45	45	61	61	299	299	675	675	126	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	115	0	0	0	0	0	0	24	24	0	0	49	49	59	59	29	29	0	0
ASV_0094	0	0	39	39	11	11	0	0	11	11	49	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	71	71	55	55	257	257	42	42	0	0	0	0	318	318	13	13	313	313	0	0	276	276
ASV_0095	0	0	17	17	0	0	0	0	37	37	0	0	117	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	79	0	0	0	0	0	0	0	0	7	7	30	30	112	112	937	937	79	79	0	0	17	17	12	12
